"id","name","template_category_id","created_at","updated_at","base_fee"
1,"Incorporation / Formation of a Local Jurisdiction Company",1,"2021-10-05 18:31:54.431591","2023-11-21 19:28:47.388087",1450
2,"Incorporation / Formation of a Federal Corporation",1,"2021-10-05 18:34:17.083785","2023-10-25 17:04:22.695442",1200
3,"Incorporation / Formation of an Unlimited Liability Corporation",1,"2021-10-05 18:36:34.846714","2023-10-25 17:03:49.092326",1300
4,"Extra provincial / state Registration in local jurisdiction",2,"2021-10-05 18:37:27.968781","2024-04-08 18:10:18.729687",300
5,"Extra provincial / state Registration in other jurisdictions",2,"2021-10-05 18:37:50.139384","2024-04-08 18:10:07.742928",200
6,"Extra provincial / state Registration in local jurisdiction for foreign corporation",2,"2021-10-05 18:38:11.637543","2024-04-08 18:09:52.996381",500
7,"Registration of a Sole Proprietorship (Local Jurisdiction)",3,"2021-10-05 18:38:53.415048","2021-10-20 04:09:33.209565",300
8,"Registration of a General Partnership (Local Jurisdiction)",4,"2021-10-05 18:39:45.105397","2021-10-20 04:10:43.285423",400
9,"Drafting General Partnership Agreement",4,"2021-10-05 18:41:06.712247","2021-10-20 04:11:02.070549",3000
10,"Drafting General Partnership Amending Agreement",4,"2021-10-05 18:47:27.667857","2021-10-20 04:12:49.79825",1500
11,"Issuance of Additional Units",4,"2021-10-05 19:38:09.951409","2021-10-20 04:13:44.026779",500
12,"Strategic Transaction Planning",5,"2021-10-05 19:53:22.072991","2021-10-20 04:15:04.804264",1500
13,"Registration of a Limited Partnership (Local Jurisdiction)",6,"2021-10-05 23:59:41.856398","2021-10-20 04:15:26.636809",400
14,"Drafting Limited Partnership Agreement",6,"2021-10-05 23:59:59.988778","2021-10-20 04:15:54.138239",3000
15,"Drafting Limited Partnership Amending Agreement",6,"2021-10-06 00:00:13.010547","2021-10-20 04:17:42.973468",1500
16,"Issuance of Additional Limited Partnership Units",6,"2021-10-06 00:45:14.241089","2021-10-20 04:18:16.000665",500
17,"Registration of a Limited Liability Partnership (Local Jurisdiction)",7,"2021-10-06 04:15:01.517699","2021-10-20 04:19:27.007532",400
18,"Drafting Limited Liability Partnership Agreement",7,"2021-10-06 04:16:17.509769","2021-10-20 04:20:07.038301",3000
19,"Drafting Limited Liability Partnership Amending Agreement",7,"2021-10-06 04:18:52.32312","2021-10-20 04:20:21.443715",1500
20,"Issuance of Additional Limited Liability Partnership Units",7,"2021-10-06 04:19:38.682481","2021-10-20 04:22:22.987999",500
21,"Local Jurisdiction Company	",8,"2021-10-06 04:21:51.458305","2021-10-20 04:23:34.130277",300
22,"Charity / Non-For-Profit",8,"2021-10-06 04:22:18.710416","2021-10-20 04:23:51.707811",200
23,"Acting as Attorney for Service in Local Jurisdiction",8,"2021-10-06 04:22:41.880867","2021-10-20 04:24:05.963488",200
24,"Federal Corporation",8,"2021-10-06 04:22:52.588992","2021-10-20 04:24:51.465269",300
25,"Federal Corporation with Local Extra provincial / stateRegistration",8,"2021-10-06 04:23:23.237851","2024-04-08 18:10:36.901705",400
26,"Extra provincial / state Registrations for foreign Corporation",8,"2021-10-06 04:23:48.381385","2024-04-08 18:10:55.537282",300
27,"Vertical (Short Form) Amalgamation",9,"2021-10-06 04:28:36.645572","2021-10-06 04:28:36.645572",0
28,"Horizontal (Short Form) Amalgamation",9,"2021-10-06 04:29:34.731742","2021-10-06 04:29:34.731742",0
29,"Long Form Amalgamation",9,"2021-10-06 04:30:57.517271","2021-10-06 04:30:57.517271",0
30,"Continuation (into local jurisdiction)",10,"2021-10-06 04:32:04.500402","2021-10-20 04:27:43.087639",1500
31,"Continuation (out of local jurisdiction)",10,"2021-10-06 04:32:23.147354","2021-10-20 04:32:51.269369",850
32,"Drafting Shareholders’ Agreement",11,"2021-10-06 04:35:13.695386","2023-11-21 19:29:42.65555",3250
33,"Review of Shareholders’ Agreement",11,"2021-10-06 04:37:23.525147","2021-10-20 04:37:36.713442",1000
34,"Closely Held Transfer of Shares (acting for Company)",12,"2021-10-06 04:48:00.755861","2021-10-20 04:40:13.630001",500
35,"Allotment of Shares",12,"2021-10-06 04:49:28.059543","2021-10-20 17:42:16.742249",400
36,"Repurchase of Shares",12,"2021-10-06 04:50:36.381607","2021-10-20 17:43:20.4811",600
37,"Redemption of Shares",12,"2021-10-06 04:51:49.412414","2021-10-06 04:51:49.412414",0
38,"Gift of Shares",12,"2021-10-06 04:52:51.149324","2021-10-20 17:43:40.118434",600
39,"Transmission of shares",12,"2021-10-06 04:53:34.829862","2021-10-20 17:43:57.906087",600
40,"Replacement of Lost Share Certificates",12,"2021-10-06 04:54:15.460921","2021-10-20 17:44:18.325506",750
41,"Section 85  Tax Driven Transaction",87,"2021-10-06 18:42:57.46823","2023-01-26 21:42:41.241187",1500
42,"Section 86 Tax Driven Transaction",87,"2021-10-06 19:58:17.445678","2023-01-26 21:42:29.567382",1500
43,"Section 51 Tax Driven Transaction",87,"2021-10-06 20:00:19.655786","2023-01-26 21:40:23.84379",1500
44,"Change of Director ",14,"2021-10-06 20:01:26.684545","2021-10-20 17:47:58.780841",250
45,"Change of Officer",14,"2021-10-06 20:04:17.602981","2021-10-20 17:48:19.072181",200
46,"Change of Director and Officer",14,"2021-10-06 20:04:48.71465","2021-10-20 17:48:34.627432",300
47,"Change of Shareholder Name",15,"2021-10-06 20:05:30.417032","2021-10-20 17:49:12.91592",200
48," Change of Director Name",15,"2021-10-06 20:06:21.988081","2021-10-20 17:50:34.677464",200
49," Change Name of Local Jurisdiction Company",15,"2021-10-06 20:06:51.876569","2021-10-20 17:58:08.423174",600
50," Change name of Federal Company",15,"2021-10-06 20:07:20.599492","2021-10-20 17:59:06.191456",750
51,"Change name of Professional Company",15,"2021-10-06 20:07:44.427025","2021-10-20 17:59:24.113508",750
52,"Dissolution (Voluntary) of Company",15,"2021-10-06 20:08:38.252146","2021-10-20 17:59:50.810257",550
53,"Wind-up of company (with agreement)",15,"2021-10-06 20:09:30.960202","2021-10-20 18:00:31.400104",1300
54,"Restoration of Company",15,"2021-10-06 20:11:11.913524","2021-10-21 19:14:49.051291",1400
55,"Capital Alteration to adopt new share structure",15,"2021-10-06 20:11:54.118572","2021-10-21 19:15:30.066135",850
56,"Audit Inquiries",15,"2021-10-06 20:12:25.801951","2021-10-21 19:16:00.271686",400
57,"Minute Book Review",15,"2021-10-06 20:13:52.903212","2021-10-21 19:17:12.407822",300
58,"Change of Registered and Records Office",15,"2021-10-06 20:15:50.865483","2021-10-21 19:18:17.381143",250
59,"Organizing / Holding an Annual General Meeting (AGM)",15,"2021-10-06 20:17:27.929062","2021-10-21 19:18:58.277465",750
60,"Dividend Resolutions",16,"2021-10-06 20:39:30.72113","2021-10-21 19:23:05.345822",300
61,"Redemption (with deemed dividend)",17,"2021-10-06 20:40:45.901678","2021-10-21 19:23:53.895642",500
62,"Drafting Deal Specific Non-Disclosure Agreement (NDA)",18,"2021-10-06 20:50:34.269249","2021-10-21 19:26:09.931216",500
63,"Drafting Multi-use Template Non-Disclosure Agreement (NDA)",18,"2021-10-06 20:52:09.895053","2021-10-21 19:26:23.530121",500
64,"Drafting Deal Specific Confidentiality Agreements",18,"2021-10-06 20:57:39.431986","2021-10-21 19:26:32.749013",500
65," Drafting Multi-use Template Confidentiality Agreements",18,"2021-10-06 21:14:54.647064","2021-10-21 19:26:44.912252",500
66,"Drafting Deal Specific Customer Agreements",18,"2021-10-06 21:17:44.760026","2021-10-21 19:27:31.535529",700
67," Drafting Multi-use Template Customer Agreements",18,"2021-10-06 21:20:01.892136","2021-10-21 19:27:55.381654",700
68,"Drafting Deal Specific Non-Competition Agreements",18,"2021-10-06 21:24:44.251468","2021-10-21 19:28:19.997938",500
69," Drafting Multi-use Template Non-Competition Agreements",18,"2021-10-06 21:25:23.865398","2021-10-21 19:28:30.363028",500
70,"Drafting Deal Specific Supplier (Vendor) Agreements",18,"2021-10-06 21:27:11.656714","2021-10-21 19:28:49.12424",700
71,"Drafting Multi-use Template Supplier (Vendor) Agreements",18,"2021-10-06 21:27:49.784637","2021-10-21 19:29:00.522742",700
72,"Sale of Property",22,"2021-10-06 21:43:40.250186","2024-03-21 21:47:27.093511",1500
73,"Purchase of Property",22,"2021-10-06 21:45:28.046057","2024-03-21 21:45:40.403335",1500
74,"Refinance of Residential Property",22,"2021-10-06 21:48:13.432315","2024-03-21 21:43:00.676693",1500
75,"Transfer of Title of Residential Property to Related Party",23,"2021-10-06 21:50:53.367637","2021-10-21 19:35:05.379494",1300
76,"Drafting Interim Agreement",23,"2021-10-06 22:04:37.487231","2021-10-21 19:35:27.613657",1500
77,"Drafting Co-ownership Agreement",23,"2021-10-06 22:06:17.278566","2021-10-21 19:35:38.723062",1500
78,"Probate and Transmission of Real Property",24,"2021-10-06 22:15:25.442859","2024-03-21 18:06:39.177311",4500
79,"Transmission of Local Personal Property",24,"2021-10-06 22:17:34.02711","2022-06-09 16:19:32.223669",600
81,"Consent to Early Distribution of Estate Assets",24,"2021-10-06 22:18:09.826417","2021-10-21 19:43:11.212119",500
