"id","name","created_at","updated_at","industry_id"
1,"Corporate & Commercial (Business Law)","2021-10-05 18:29:36.558063","2021-10-05 18:29:36.558063",1
2,"Commercial Litigation","2021-10-05 19:51:04.80179","2021-10-05 19:51:04.80179",1
3,"Mergers & Acquisitions (M&A)","2021-10-05 19:51:46.274361","2021-10-05 19:51:46.274361",1
4,"Charities & Not-For-Profits","2021-10-05 20:15:04.152819","2021-10-05 20:15:04.152819",1
5,"Franchise Matters","2021-10-05 20:15:17.585404","2021-10-05 20:15:17.585404",1
6,"Residential Real Estate","2021-10-05 20:15:33.098577","2021-10-05 20:15:33.098577",1
7,"Commercial Real Estate","2021-10-05 20:15:45.061291","2021-10-05 20:15:45.061291",1
8,"Banking & Finance (Commercial Lending)","2021-10-05 20:16:08.240031","2021-10-05 20:16:08.240031",1
9,"Estates & Trusts","2021-10-05 20:16:19.280649","2021-10-05 20:16:19.280649",1
10,"Labour, Employment & Human Rights","2021-10-05 20:16:37.041832","2021-10-05 20:16:37.041832",1
11,"Family Law","2021-10-05 20:16:44.936172","2021-10-05 20:16:44.936172",1
12,"Immigration","2021-10-05 20:16:54.177504","2021-10-05 20:16:54.177504",1
13,"Intellectual Property (IP)","2021-10-05 20:17:07.1946","2021-10-05 20:17:07.1946",1
14,"Insolvency & Restructuring ","2021-10-05 20:17:36.922531","2021-10-05 20:17:36.922531",1
15,"Insurance","2021-10-05 20:17:46.481547","2021-10-05 20:17:46.481547",1
16,"Corporate Finance & Securities","2021-10-05 20:18:02.887256","2021-10-05 20:18:02.887256",1
17,"Environmental","2021-10-05 20:18:15.344596","2021-10-05 20:18:15.344596",1
18,"Indigenous Law","2021-10-05 20:18:29.260699","2021-10-05 20:18:29.260699",1
19,"International Trade & Customs Law","2021-10-05 20:18:49.601586","2021-10-05 20:18:49.601586",1
20,"Private Equity & Venture Capital","2021-10-05 20:19:05.465624","2021-10-05 20:19:05.465624",1
21,"Tax","2021-10-05 20:19:12.552325","2021-10-05 20:19:12.552325",1
22,"Personal Injury","2021-10-05 20:19:20.44878","2021-10-05 20:19:20.44878",1
23,"Construction","2021-10-05 20:19:27.119562","2021-10-05 20:19:27.119562",1
24,"Privacy, Data Protection & Cybersecurity","2021-10-05 20:19:46.051188","2021-10-05 20:19:46.051188",1
25,"Alternative Dispute Resolution (ADR)","2021-10-25 21:53:02.058762","2021-10-25 21:53:02.058762",1
26,"Tax Planning","2022-04-19 21:30:08.137956","2022-04-19 21:30:08.137956",2
27,"Implementation","2022-04-19 22:15:40.070481","2022-04-19 22:15:40.070481",2
28,"Tax","2022-04-19 22:15:52.576264","2022-04-19 22:15:52.576264",2
29,"Accounting","2022-04-19 22:16:06.340334","2022-04-19 22:16:06.340334",2
30,"CFO","2022-04-19 22:16:19.19762","2022-04-19 22:16:19.19762",2
31,"Advisory & Consulting","2022-04-19 22:16:52.232136","2022-04-19 22:16:52.232136",2
32,"Criminal Law","2022-06-01 18:56:41.926112","2022-06-01 18:56:41.926112",1
33,"Advisory & Consulting","2022-08-23 18:46:22.661223","2022-08-23 18:46:22.661223",3
34,"Administrative Law","2022-11-01 21:14:34.04114","2022-11-01 21:14:34.04114",1
35,"Entertainment Law","2023-04-14 01:18:27.29156","2023-04-14 01:18:27.29156",1
36,"Condo Law","2023-11-06 21:10:24.044313","2023-11-06 21:10:24.044313",1
37,"Advisory & Consulting","2023-12-05 22:50:20.730213","2023-12-05 22:50:20.730213",5
38,"Competition Law","2024-05-06 16:54:45.400148","2024-05-06 16:54:45.400148",1
39,"Implementation","2024-08-09 19:12:31.882322","2024-08-09 19:12:31.882322",4
40,"Support","2024-08-09 21:43:05.023994","2024-08-09 21:43:05.023994",4
41,"Software Subscription","2024-08-09 21:55:22.659232","2024-08-09 22:15:57.789091",4
42,"Energy","2024-08-22 16:44:36.133699","2024-08-22 16:44:36.133699",1
